n,t,p
697,35712,932.47
698,35763,932.54
699,35815,932.52
700,35866,932.51
701,35917,932.54
702,35969,932.55
703,36021,932.58
704,36072,932.58
705,36126,932.50
706,36178,932.53
707,36230,932.52
708,36282,932.58
709,36333,932.55
710,36385,932.49
711,36436,932.51
712,36488,932.53
713,36540,932.53
714,36591,932.51
715,36643,932.56
716,36695,932.57
717,36750,932.60
718,36801,932.56
719,36853,932.57
720,36904,932.57
721,36956,932.59
722,37008,932.59
723,37059,932.55
724,37111,932.56
725,37163,932.57
726,37215,932.61
727,37266,932.58
728,37317,932.56
729,37369,932.57
730,37421,932.56
731,37472,932.50
732,37524,932.56
733,37575,932.52
734,37627,932.54
735,37682,932.63
736,37734,932.55
737,37785,932.56
738,37836,932.58
739,37889,932.56
740,37940,932.60
741,37992,932.54
742,38044,932.58
743,38095,932.58
744,38147,932.57
745,38202,932.62
746,38254,932.62
747,38305,932.53
748,38358,932.55
749,38409,932.56
750,38461,932.58
751,38512,932.61
752,38563,932.55
753,38616,932.54
754,38667,932.48
755,38719,932.52
756,38770,932.56
757,38822,932.55
758,38874,932.60
759,38925,932.55
760,38977,932.62
761,39028,932.52
762,39079,932.61
763,39132,932.61
764,39184,932.60
765,39238,932.57
766,39288,932.56
767,39340,932.57
768,39391,932.53
769,39442,932.57
770,39494,932.56
771,39545,932.57
772,39597,932.54
773,39652,932.56
774,39703,932.57
775,39755,932.52
776,39806,932.58
777,39858,932.57
778,39909,932.56
779,39960,932.55
780,40012,932.49
781,40064,932.58
782,40116,932.56
783,40167,932.57
784,40218,932.56
785,40269,932.52
786,40321,932.58
787,40373,932.59
788,40424,932.55
789,40475,932.55
790,40527,932.56
791,40579,932.57
792,40630,932.60
793,40681,932.54
794,40733,932.59
795,40787,932.58
796,40840,932.57
797,40891,932.54
798,40943,932.64
799,40994,932.60
800,41046,932.61
801,41102,932.59
802,41153,932.59
803,41205,932.56
804,41256,932.58
805,41309,932.57
806,41360,932.56
807,41412,932.61
808,41463,932.55
809,41516,932.57
810,41567,932.58
811,41619,932.54
812,41670,932.61
813,41722,932.55
814,41774,932.58
815,41826,932.52
816,41877,932.53
817,41928,932.61
818,41980,932.54
819,42032,932.59
820,42084,932.60
821,42136,932.61
822,42187,932.55
823,42238,932.60
824,42291,932.56
825,42345,932.59
826,42397,932.51
827,42448,932.57
828,42501,932.60
829,42556,932.55
830,42607,932.53
831,42658,932.55
832,42711,932.52
833,42762,932.52
834,42814,932.54
835,42865,932.56
836,42917,932.53
837,42970,932.52
838,43021,932.56
839,43072,932.58
840,43124,932.57
841,43175,932.56
842,43228,932.59
843,43280,932.54
844,43331,932.54
845,43383,932.57
846,43435,932.57
847,43487,932.62
848,43538,932.60
849,43590,932.57
850,43641,932.58
851,43694,932.59
852,43745,932.58
853,43797,932.60
854,43848,932.58
855,43900,932.56
856,43955,932.55
857,44010,932.62
858,44061,932.53
859,44112,932.60
860,44164,932.59
861,44216,932.63
862,44267,932.54
863,44318,932.58
864,44369,932.64
865,44421,932.58
866,44472,932.60
867,44524,932.60
868,44575,932.62
869,44626,932.60
870,44678,932.62
871,44729,932.59
872,44780,932.63
873,44832,932.60
874,44883,932.60
875,44935,932.60
876,44987,932.62
877,45038,932.61
878,45089,932.57
879,45140,932.61
880,45192,932.55
881,45243,932.61
882,45295,932.61
883,45346,932.56
884,45398,932.59
885,45453,932.58
886,45506,932.60
887,45557,932.55
888,45609,932.56
889,45661,932.57
890,45713,932.58
891,45764,932.57
892,45816,932.60
893,45868,932.58
894,45919,932.60
895,45970,932.59
896,46021,932.61
897,46073,932.50
898,46125,932.59
899,46176,932.60
900,46228,932.59
901,46279,932.59
902,46330,932.58
903,46383,932.60
904,46434,932.58
905,46485,932.59
906,46537,932.58
907,46588,932.62
908,46640,932.58
909,46691,932.59
910,46743,932.53
911,46794,932.61
912,46846,932.56
913,46898,932.58
914,46953,932.58
915,47004,932.55
916,47059,932.58
917,47110,932.53
918,47160,932.55
919,47212,932.52
920,47263,932.64
921,47314,932.54
922,47367,932.53
923,47418,932.58
924,47469,932.61
925,47521,932.56
926,47572,932.57
927,47624,932.57
928,47676,932.52
929,47727,932.55
930,47778,932.54
931,47831,932.57
932,47882,932.51
933,47933,932.55
934,47984,932.55
935,48035,932.57
936,48088,932.57
937,48139,932.53
938,48191,932.63
939,48242,932.58
940,48293,932.60
941,48345,932.56
942,48400,932.57
943,48451,932.58
944,48503,932.56
945,48555,932.54
946,48610,932.58
947,48661,932.53
948,48713,932.58
949,48764,932.55
950,48816,932.56
951,48868,932.57
952,48920,932.52
953,48971,932.57
954,49024,932.56
955,49075,932.57
956,49127,932.57
957,49178,932.60
958,49229,932.57
959,49282,932.54
960,49333,932.54
961,49385,932.61
962,49437,932.56
963,49488,932.54
964,49540,932.51
965,49592,932.52
966,49643,932.57
967,49695,932.57
968,49746,932.56
969,49799,932.57
970,49854,932.55
971,49905,932.56
972,49957,932.56
973,50009,932.57
974,50060,932.60
975,50112,932.55
976,50167,932.58
977,50219,932.54
978,50271,932.54
979,50322,932.53
980,50373,932.54
981,50425,932.55
982,50477,932.53
983,50529,932.57
984,50580,932.55
985,50632,932.59
986,50683,932.62
987,50736,932.60
988,50787,932.59
989,50839,932.54
990,50890,932.59
991,50942,932.52
992,50994,932.62
993,51046,932.55
994,51098,932.53
995,51149,932.59
